Epoch,Train_Loss,Val_Loss,Val_Acc,LR
1,4.988749563223999,4.960423585980437,1.1285038223516564,0.00010090000000000001
2,4.935670770966452,4.6352019393166835,4.768838733163451,0.00020080000000000003
3,4.785154886143182,4.138789425062579,9.646887513651256,0.0003007000000000001
4,4.623544548232923,3.8472108217172845,12.741172187841281,0.0004006000000000001
5,4.48926459896949,3.6277459416278575,15.94466690935566,0.0005005000000000001
6,4.356306103395305,3.2184281210566676,23.006916636330544,0.0006004000000000002
7,4.237411038764488,2.8788341796675394,29.341099381143064,0.0007003000000000002
8,4.150461734922128,2.7144572755625083,33.30906443392792,0.0008002000000000002
9,4.04776189472513,2.5616294187168744,35.165635238441936,0.0009001000000000001
10,3.970361627045498,2.434396278719569,36.94939934473972,0.0009829799502313896
11,3.906262359482413,2.3421287224736322,39.06079359301056,0.0009794304575666624
12,3.844501666441613,2.143161596946938,43.93884237349836,0.0009755527298894294
13,3.7744659297355185,2.0252479016780853,47.03312704768839,0.0009713494248005433
14,3.7074664418415355,1.9887122927710068,47.8704040771751,0.0009668234230353523
15,3.6819858528807172,1.881231735612071,50.56425191117583,0.0009619778264893878
16,3.6322899997875253,1.795488796261854,51.87477247906808,0.0009568159560924792
17,3.594268410863842,1.8813517190689264,51.43793228977066,0.0009513413495327556
18,3.5576130954168175,1.8253589397252992,52.56643611212232,0.0009455577588320898
19,3.5182718205195602,1.7289147598798884,53.476519839825265,0.0009394691477746517
20,3.480058174406756,1.5606602510047514,57.51729159082635,0.0009330796891903273
21,3.454228334871244,1.6287084790163262,56.607207863123406,0.0009263937620948692
22,3.4612441999510626,1.6646416516498077,56.279577721150346,0.0009194159486887395
23,3.3946533678253066,1.574829176068306,59.48307244266473,0.0009121510312166969
24,3.3833698541032797,1.6579483861840048,53.9497633782308,0.0009046039886902864
25,3.4163209364832943,1.586640800501025,59.55587914088096,0.0008967799934754721
26,3.399170326246583,1.5272600085929382,58.71860211139425,0.000888684407747757
27,3.3356838347664017,1.5428679737933846,59.84710593374591,0.0008803227798172156
28,3.3568562379447364,1.4696251067311266,63.92428103385512,0.0008717008403259585
29,3.3338804086903946,1.4792268428691597,60.53876956680015,0.0008628244983206378
30,3.2954924709907996,1.487432450056076,60.79359301055697,0.0008536998372026805
31,3.2946610983981883,1.4682230516228565,60.61157626501638,0.0008443331105590302
32,3.2683111293341525,1.4915667436150617,61.01201310520568,0.0008347307378762498
33,3.300622448186293,1.46225597796052,59.88350928285402,0.0008248993001409269
34,3.238723964759526,1.3339025839123615,64.03349108117946,0.0008148455353293939
35,3.244799757345603,1.4787249513143716,60.13833272661085,0.0008045763337898561
36,3.2065994184931546,1.3636027543350708,63.487440844557696,0.0007940987335200904
37,3.2445946802802412,1.3416090441304585,64.87076811066618,0.0007834199153439541
38,3.184025316340949,1.3948806087638057,63.887877684747,0.0007725471979900062
39,3.204552587813374,1.3155866833620293,64.94357480888242,0.0007614880330756165
40,3.159368781120546,1.3528642463822698,62.24972697488169,0.0007502500000000002
41,3.1926122153531695,1.323184888376746,64.32471787404441,0.0007388408007496746
42,3.177554346070922,1.3612423230742299,64.2883145249363,0.0007272682546199037
43,3.155403703344338,1.3361667931772943,63.92428103385512,0.0007155402928557435
44,3.1376351615434053,1.2815839480175528,63.96068438296323,0.0007036649532163624
45,3.1536159228253107,1.2705020298098408,66.29049872588278,0.0006916503744663625
46,3.105574468814344,1.2995839649161627,66.03567528212595,0.0006795047907978776
47,3.077720526213287,1.3011713093796442,66.80014561339644,0.0006672365261872686
48,3.0698504509464386,1.3478397311166275,65.19839825263924,0.0006548539886902864
49,3.0772108712076713,1.2357637667378714,67.30979250091008,0.0006423656646796095
50,3.078437798424861,1.1465149206477543,69.93083363669457,0.0006297801130287093
51,3.04696997878372,1.2988146160577618,66.1448853294503,0.0006171059592460249
52,3.0364166318729358,1.1816345933218335,68.9843465598835,0.0006043518895634708
53,3.026657234896041,1.354660949561485,65.81725518747724,0.0005915266449833278
54,3.0402703679163396,1.1755426967906397,68.7659264652348,0.0005786390152875954
55,2.9849813957795446,1.1551948285033538,69.34838005096469,0.0005656978330139159
