Epoch,Train_Loss,Val_Loss,Val_Acc,LR
1,5.04454310186978,5.0080472230911255,0.5460502366217692,1.09e-05
2,4.900998575934048,4.685945510864258,7.098653076083,2.08e-05
3,4.501903007770407,4.009769469499588,21.25955587914088,3.07e-05
4,3.8961684128333784,3.2729810774326324,33.418274481252276,4.06e-05
5,3.289566323674958,2.6065363585948944,48.962504550418636,5.0499999999999994e-05
6,2.784975499942385,2.0646848529577255,59.44666909355661,6.04e-05
7,2.4127945858856727,1.6609945893287659,65.12559155442301,7.03e-05
8,2.1468737659783197,1.413989782333374,68.80232981434293,8.02e-05
9,1.9528602752192268,1.2520170509815216,72.36985802693847,9.01e-05
10,1.824777574374758,1.084545649588108,75.28212595558792,7.525e-05
11,1.708971409962095,1.0066021084785461,75.90098289042592,7.063346383225212e-05
12,1.6440142886392002,0.9727610647678375,76.92027666545322,6.57963412215599e-05
13,1.590022058322512,0.9449125900864601,77.83036039315617,6.079162869547908e-05
14,1.5387207701288421,0.9093118160963058,77.93957044048052,5.5674158931748854e-05
15,1.506150015469255,0.8894718959927559,78.81325081907535,5.0500000000000015e-05
16,1.4836902659514855,0.8637978658080101,79.5049144521296,4.532584106825116e-05
17,1.4567522940964535,0.859711728990078,78.74044412085912,4.020837130452091e-05
18,1.434925630174834,0.858440451323986,79.61412449945395,3.5203658778440106e-05
19,1.4120565632293964,0.8617817312479019,79.7233345467783,3.0366536167747902e-05
20,1.3999287958802848,0.8561986535787582,80.08736803785948,2.5750000000000013e-05
21,1.388342392855677,0.8368737325072289,79.75973789588642,2.1404630011522586e-05
22,1.3783072418180005,0.835327610373497,79.94175464142701,1.7378034985236535e-05
23,1.3703135909705326,0.8673298954963684,79.79614124499454,1.3714331138868997e-05
24,1.3638053556968426,0.824484646320343,80.1237713869676,1.0453658778440109e-05
25,1.3495663527784676,0.8315216600894928,79.94175464142701,7.631742512670284e-06
26,1.348554985276584,0.8432883098721504,80.30578813250818,5.279499846691251e-06
27,1.34670797709761,0.8340173661708832,80.05096468875136,3.4227024433899e-06
28,1.3392439751789487,0.8042277470231056,80.23298143429196,2.0816937636766186e-06
29,1.3426555765086208,0.8222405090928078,80.1237713869676,1.2711661792704665e-06
30,1.3430364542994007,0.8370994180440903,80.1237713869676,1e-06
