Epoch,Train_Loss,Val_Loss,Val_Acc,LR
1,5.107643805951628,5.011892887048943,1.346923917000364,0.00010090000000000001
2,3.2861577462979117,1.1014367522195327,72.77029486712777,0.00020080000000000003
3,2.543383964073701,0.8941690318806227,76.8838733163451,0.0003007000000000001
4,2.438558159335967,1.0092126387496327,74.08081543502003,0.0004006000000000001
5,2.41449761262504,0.989457669126433,73.86239534037131,0.0005005000000000001
6,2.4254232221179537,1.0321951790951018,72.80669821623589,0.0006004000000000002
7,2.429327795326069,1.069666673970777,71.45977429923553,0.0007003000000000002
8,2.505242665095996,1.160904780723328,70.73170731707317,0.0008002000000000002
9,2.5149968169496053,1.2562892894412196,68.14706953039679,0.0009001000000000001
10,2.568715354960452,1.3265770895536555,64.83436476155806,0.0009829799502313896
11,2.5790537509439666,1.2818380719007447,65.08918820531488,0.0009794304575666624
12,2.5666954891656033,1.2809583548196526,66.90935566072079,0.0009755527298894294
13,2.5680321279819722,1.2543329133890395,67.56461594466691,0.0009713494248005433
14,2.516387143442708,1.3454148457493893,65.19839825263924,0.0009668234230353523
15,2.5492748128897826,1.1428802867614947,70.04004368401893,0.0009619778264893878
16,2.525383650102923,1.2542082840620086,67.41900254823443,0.0009568159560924792
17,2.5149635593523687,1.305667710858722,67.67382599199127,0.0009513413495327556
18,2.4914631402620704,1.3838061880926753,66.18128867855843,0.0009455577588320898
