epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,2681.15,1.43812,1.05214,0.33398,1.45055,1.48687,0.71296,0.75112,0.78002,0.47268,0.79885,0.81738,0.87347,0.77951,1.39363,0.8447,0.262,1.23674,1.50024,0.007426,0.007426,0.007426
28,2776.67,1.41465,1.01772,0.33151,1.41771,1.46236,0.80617,0.73103,0.79441,0.48737,0.88211,0.82313,0.89279,0.79376,1.39697,0.85001,0.26393,1.23168,1.49231,0.007327,0.007327,0.007327
29,2872.26,1.42026,1.02949,0.33144,1.42124,1.47665,0.79802,0.76303,0.80583,0.4903,0.8554,0.83079,0.88804,0.79555,1.39138,0.83221,0.26522,1.2197,1.4984,0.007228,0.007228,0.007228
30,2967.91,1.41979,1.03656,0.32809,1.42384,1.47935,0.81669,0.70716,0.79714,0.48397,0.89957,0.78949,0.89162,0.80162,1.39068,0.83331,0.2648,1.20255,1.49277,0.007129,0.007129,0.007129
31,3063.25,1.40622,1.03069,0.32899,1.41608,1.47171,0.8038,0.73529,0.8027,0.49742,0.87382,0.79865,0.88849,0.79471,1.39279,0.81915,0.26547,1.20265,1.49756,0.00703,0.00703,0.00703
32,3158.54,1.39838,1.01179,0.32261,1.40055,1.46415,0.75057,0.74758,0.79808,0.49712,0.824,0.8203,0.88617,0.78896,1.38126,0.82383,0.25851,1.20418,1.48465,0.006931,0.006931,0.006931
33,3253.96,1.39584,0.97943,0.31941,1.39177,1.46399,0.77462,0.72107,0.80304,0.48063,0.85736,0.80226,0.89615,0.8089,1.37075,0.8219,0.26254,1.19543,1.48373,0.006832,0.006832,0.006832
34,3349.68,1.39285,0.99683,0.31956,1.38958,1.45489,0.79496,0.7513,0.80701,0.50626,0.88219,0.83493,0.89642,0.80241,1.3733,0.82382,0.25489,1.18568,1.4664,0.006733,0.006733,0.006733
35,3444.76,1.38858,0.99119,0.31632,1.3861,1.45182,0.78871,0.75202,0.79975,0.4994,0.86878,0.81306,0.8864,0.80008,1.36614,0.80727,0.25745,1.18111,1.46667,0.006634,0.006634,0.006634
36,3540.33,1.38276,0.99083,0.31225,1.37911,1.44718,0.77548,0.77575,0.80374,0.4997,0.85988,0.84327,0.89934,0.81039,1.3728,0.79526,0.25287,1.18196,1.46684,0.006535,0.006535,0.006535
37,3635.8,1.37715,0.97023,0.30854,1.36917,1.44392,0.80673,0.7607,0.80586,0.50486,0.88329,0.83177,0.89811,0.80444,1.36676,0.80948,0.25393,1.17111,1.4759,0.006436,0.006436,0.006436
38,3731.7,1.37294,0.95237,0.30876,1.36464,1.43963,0.77813,0.75711,0.8088,0.50938,0.86232,0.82898,0.89962,0.81066,1.36961,0.79581,0.25172,1.16913,1.4741,0.006337,0.006337,0.006337
39,3828.86,1.3674,0.96571,0.30345,1.35736,1.43638,0.80293,0.75027,0.81845,0.50732,0.87504,0.82531,0.90848,0.81794,1.36104,0.7885,0.25458,1.15898,1.45332,0.006238,0.006238,0.006238
40,3925.84,1.35987,0.94855,0.30057,1.35343,1.43235,0.78787,0.79334,0.82041,0.51434,0.86418,0.86642,0.91288,0.82547,1.36079,0.79199,0.24906,1.15335,1.457,0.006139,0.006139,0.006139
41,4025.5,1.35408,0.92035,0.3015,1.32941,1.42218,0.7988,0.78612,0.81794,0.52043,0.88044,0.8565,0.90824,0.81919,1.3647,0.7795,0.246,1.16363,1.45582,0.00604,0.00604,0.00604
42,4123.19,1.35634,0.92587,0.29746,1.33215,1.42179,0.77025,0.77489,0.80361,0.49699,0.84923,0.84466,0.89575,0.80893,1.35607,0.77725,0.25198,1.16323,1.45662,0.005941,0.005941,0.005941
43,4221.07,1.35748,0.91284,0.29566,1.33878,1.4333,0.77451,0.77425,0.81602,0.51245,0.86375,0.85645,0.90619,0.82275,1.35396,0.76992,0.24734,1.15752,1.4545,0.005842,0.005842,0.005842
44,4320.04,1.34847,0.91542,0.29117,1.31174,1.41757,0.76407,0.76892,0.81316,0.51384,0.87976,0.82082,0.90496,0.81686,1.36576,0.77177,0.24422,1.14178,1.46054,0.005743,0.005743,0.005743
45,4416.46,1.34534,0.9282,0.29097,1.32347,1.42031,0.79877,0.77883,0.81906,0.51882,0.88058,0.85183,0.90669,0.8227,1.35587,0.77144,0.24792,1.1448,1.44842,0.005644,0.005644,0.005644
46,4513.06,1.34497,0.91311,0.2901,1.32693,1.41762,0.80131,0.76314,0.81232,0.51724,0.87935,0.83659,0.90699,0.82117,1.34959,0.77167,0.24657,1.1391,1.45492,0.005545,0.005545,0.005545
47,4609.65,1.34474,0.90699,0.28884,1.31719,1.42719,0.79538,0.77662,0.81735,0.51759,0.86531,0.8449,0.90467,0.82259,1.33654,0.75962,0.24446,1.14836,1.44773,0.005446,0.005446,0.005446
48,4706.1,1.33081,0.89659,0.28524,1.32151,1.41034,0.81849,0.74897,0.82072,0.51754,0.87435,0.82468,0.90983,0.8276,1.34787,0.75161,0.2468,1.14616,1.44967,0.005347,0.005347,0.005347
49,4802.81,1.32717,0.88169,0.28117,1.3068,1.40526,0.80552,0.75674,0.81993,0.51652,0.87087,0.83022,0.90716,0.82529,1.34519,0.74784,0.2431,1.13382,1.44871,0.005248,0.005248,0.005248
50,4899.4,1.32759,0.88145,0.28471,1.29732,1.40322,0.82822,0.76091,0.82437,0.52532,0.90018,0.82965,0.91115,0.82454,1.35062,0.74119,0.24592,1.13085,1.45144,0.005149,0.005149,0.005149
51,4995.93,1.32986,0.87468,0.28117,1.30726,1.40934,0.78513,0.77585,0.82522,0.52842,0.8577,0.84665,0.91162,0.83106,1.33181,0.73195,0.24587,1.13251,1.43979,0.00505,0.00505,0.00505
52,5092.44,1.32328,0.87416,0.27867,1.29358,1.40016,0.7671,0.79727,0.82112,0.52619,0.86292,0.8624,0.91281,0.83007,1.32702,0.73294,0.24381,1.12621,1.4343,0.004951,0.004951,0.004951
53,5189.05,1.31298,0.88171,0.2788,1.28265,1.39243,0.79525,0.79668,0.82622,0.5329,0.87619,0.86475,0.9146,0.83252,1.33129,0.73864,0.24302,1.12287,1.43351,0.004852,0.004852,0.004852
54,5285.53,1.31784,0.84777,0.27626,1.29335,1.40423,0.79681,0.78438,0.82845,0.52868,0.87995,0.85584,0.91724,0.8343,1.33175,0.72717,0.24108,1.11892,1.43114,0.004753,0.004753,0.004753
55,5382.01,1.31292,0.86198,0.27401,1.27571,1.39447,0.82429,0.78504,0.82998,0.53728,0.89633,0.86063,0.91773,0.83128,1.33241,0.732,0.24187,1.11445,1.43625,0.004654,0.004654,0.004654
56,5478.45,1.3075,0.84621,0.27469,1.27516,1.39662,0.79787,0.79864,0.83021,0.52909,0.88668,0.86021,0.91771,0.83077,1.33816,0.72748,0.2414,1.11482,1.44631,0.004555,0.004555,0.004555
57,5574.89,1.30237,0.85159,0.2712,1.26398,1.38537,0.81389,0.7867,0.82876,0.53177,0.89007,0.85725,0.91552,0.83032,1.33427,0.72305,0.241,1.11092,1.44091,0.004456,0.004456,0.004456
58,5671.25,1.29705,0.82968,0.26727,1.25868,1.38385,0.80715,0.79417,0.83301,0.53372,0.88556,0.85999,0.91845,0.83499,1.33381,0.72687,0.24184,1.10561,1.43902,0.004357,0.004357,0.004357
59,5767.72,1.2929,0.82285,0.27082,1.2518,1.39178,0.83476,0.77569,0.82722,0.53123,0.90679,0.84805,0.91812,0.83565,1.33897,0.72061,0.24232,1.10611,1.44882,0.004258,0.004258,0.004258
60,5864.37,1.28316,0.83736,0.26945,1.24838,1.3797,0.83335,0.77425,0.83203,0.53455,0.90137,0.84479,0.91726,0.83596,1.3318,0.71489,0.24149,1.10248,1.44083,0.004159,0.004159,0.004159
61,5960.9,1.28381,0.81928,0.26849,1.24742,1.37885,0.80893,0.78561,0.83432,0.53356,0.88429,0.85995,0.91966,0.8391,1.33373,0.71367,0.24059,1.09201,1.4415,0.00406,0.00406,0.00406
62,6057.52,1.28008,0.81583,0.2651,1.23403,1.37506,0.82476,0.78127,0.83337,0.53188,0.89447,0.85255,0.91892,0.84009,1.33063,0.71147,0.24089,1.09209,1.43609,0.003961,0.003961,0.003961
63,6154.24,1.27642,0.81765,0.26593,1.23475,1.3727,0.8207,0.78378,0.83295,0.5249,0.89199,0.85203,0.91833,0.83971,1.33396,0.71183,0.24096,1.0902,1.43827,0.003862,0.003862,0.003862
64,6250.64,1.28291,0.82205,0.26639,1.23261,1.37178,0.82808,0.782,0.83372,0.52843,0.89453,0.85653,0.92014,0.83972,1.33525,0.71604,0.24031,1.09345,1.43642,0.003763,0.003763,0.003763
65,6347.05,1.27109,0.80304,0.26169,1.22634,1.37012,0.81347,0.79249,0.83366,0.52724,0.88707,0.86449,0.92142,0.84081,1.33399,0.7178,0.2386,1.09103,1.43576,0.003664,0.003664,0.003664
66,6443.43,1.26475,0.80986,0.25905,1.22044,1.36636,0.81528,0.79213,0.83499,0.53047,0.88603,0.86182,0.92233,0.8402,1.33379,0.71934,0.23862,1.0833,1.43674,0.003565,0.003565,0.003565
67,6539.67,1.27157,0.7894,0.26132,1.22427,1.36545,0.82266,0.7845,0.83768,0.52882,0.88847,0.85601,0.92275,0.84216,1.33418,0.71772,0.23754,1.08086,1.4388,0.003466,0.003466,0.003466
68,6635.96,1.26184,0.78907,0.2582,1.20253,1.35945,0.81466,0.79161,0.83512,0.53191,0.88436,0.86144,0.9225,0.8423,1.33302,0.71383,0.23708,1.08242,1.43544,0.003367,0.003367,0.003367
69,6732.15,1.24832,0.79103,0.25392,1.20344,1.35417,0.80974,0.80334,0.83341,0.53286,0.88687,0.86639,0.92069,0.8408,1.33329,0.71257,0.23604,1.08132,1.43661,0.003268,0.003268,0.003268
