Epoch,Train_Loss,Val_Loss,Val_Acc,LR
1,4.98875145484897,4.960402796434802,1.1285038223516564,0.00010090000000000001
2,4.934446099325747,4.635215443234111,4.586821987622861,0.00020080000000000003
3,4.789520331351988,4.153208916963533,9.210047324353841,0.0003007000000000001
4,4.6282266119475,3.842804591323054,13.068802329814343,0.0004006000000000001
5,4.489102402382854,3.653734467750372,15.617036767382599,0.0005005000000000001
6,4.353776438518237,3.226218283176422,21.769202766654534,0.0006004000000000002
7,4.227406481089985,2.885146391946216,28.21259555879141,0.0007003000000000002
8,4.144898593895752,2.788846332666486,29.887149617764834,0.0008002000000000002
9,4.039435389904993,2.5528868700182716,35.74808882417182,0.0009001000000000001
10,3.9628660263553743,2.3668475338192874,38.623953403713145,0.0009829799502313896
11,3.9010845753454393,2.2762979546258615,40.55333090644339,0.0009794304575666624
12,3.8394098032332664,2.185834529787995,42.591918456498,0.0009755527298894294
13,3.766236055367309,2.0344350026097406,47.03312704768839,0.0009713494248005433
14,3.700566502369433,1.9339722789997278,50.12741172187841,0.0009668234230353523
15,3.6711525335961346,1.8351640905751738,50.27302511831088,0.0009619778264893878
16,3.6263192935656474,1.8095120551974275,52.5300327630142,0.0009568159560924792
17,3.588478180669969,1.8289580650107806,52.49362941390608,0.0009513413495327556
18,3.5469341416512767,1.8214733281800912,52.093192573716784,0.0009455577588320898
19,3.5111665997453914,1.6997195579284845,54.168183472879505,0.0009394691477746517
20,3.4707915676964656,1.5429420831591585,57.55369493993447,0.0009330796891903273
21,3.4500428421950255,1.681776607452437,55.951947579177286,0.0009263937620948692
22,3.4539975696139864,1.6577718462361846,57.18966144885329,0.0009194159486887395
23,3.3907826539863395,1.5471530338359434,59.701492537313435,0.0009121510312166969
24,3.3754746623363974,1.6223027352676835,55.80633418274481,0.0009046039886902864
25,3.4057209815603002,1.622148528348568,58.35456862031307,0.0008967799934754721
26,3.3966144055875827,1.5085248035746952,59.55587914088096,0.000888684407747757
27,3.3273652037412034,1.5737921942112059,58.90061885693484,0.0008803227798172156
28,3.3455996509948513,1.5076119185880172,60.28394612304332,0.0008717008403259585
29,3.333790342098496,1.4808854602797086,59.264652348016014,0.0008628244983206378
30,3.2908736975816844,1.4492528102425641,60.90280305788132,0.0008536998372026805
31,3.2891430827451864,1.5120501587557238,60.97560975609756,0.0008443331105590302
32,3.2620005294840824,1.5253723963748578,60.2475427739352,0.0008347307378762498
33,3.3005313862181906,1.3852922621854515,62.540953767746636,0.0008248993001409269
34,3.2411360470624806,1.4072066029143888,63.37823079723334,0.0008148455353293939
35,3.2405853380866376,1.4641361922718759,60.46596286858391,0.0008045763337898561
36,3.2048145759062954,1.4137254145949385,62.504550418638516,0.0007940987335200904
37,3.247341942103533,1.3708331092845563,63.196214051692756,0.0007834199153439541
38,3.186334427795957,1.4000805626774944,62.57735711685475,0.0007725471979900062
39,3.199756428246857,1.3101487520129182,63.99708773207135,0.0007614880330756165
40,3.149984083722569,1.3555712786524794,63.196214051692756,0.0007502500000000002
41,3.1937070973030557,1.4084408401056778,62.468147069530396,0.0007388408007496746
42,3.181678734543503,1.304151454637217,66.18128867855843,0.0007272682546199037
43,3.14992442122497,1.3767994015022766,63.45103749544958,0.0007155402928557435
44,3.13957100811825,1.3073659203080243,64.1062977793957,0.0007036649532163624
45,3.1602528805373815,1.3407131059225215,63.81507098653076,0.0006916503744663625
46,3.108316569943582,1.3144161690806233,64.6887513651256,0.0006795047907978776
47,3.072520613755804,1.347118319120518,64.79796141244995,0.0006672365261872686
48,3.069134641291847,1.3345129531483317,65.48962504550418,0.0006548539886902864
49,3.07678232919358,1.2490625443846681,67.30979250091008,0.0006423656646796095
50,3.0831153662828563,1.209089136920696,68.14706953039679,0.0006297801130287093
51,3.042671926987214,1.17170097367015,68.32908627593739,0.0006171059592460249
52,3.0413130546556153,1.3084916203867558,66.03567528212595,0.0006043518895634708
53,3.028484550342765,1.202380159739838,68.47469967236985,0.0005915266449833278
